--------------------------------------------------------------------------------
		Tihs is a cureent running process log file 
		This log file is created at : Sat Jun 21 16:19:05 2025
--------------------------------------------------------------------------------
{'name': 'kernel_task', 'pid': 0, 'username': 'root'} 

{'name': 'launchd', 'pid': 1, 'username': 'root'} 

{'name': 'logd', 'pid': 301, 'username': 'root'} 

{'name': 'UserEventAgent', 'pid': 303, 'username': 'root'} 

{'name': 'fseventsd', 'pid': 305, 'username': 'root'} 

{'name': 'mediaremoted', 'pid': 306, 'username': 'root'} 

{'name': 'systemstats', 'pid': 309, 'username': 'root'} 

{'name': 'configd', 'pid': 312, 'username': 'root'} 

{'name': 'powerd', 'pid': 314, 'username': 'root'} 

{'name': 'IOMFB_bics_daemo', 'pid': 315, 'username': 'root'} 

{'name': 'remoted', 'pid': 319, 'username': 'root'} 

{'name': 'corespeechd_syst', 'pid': 323, 'username': '_corespeechd'} 

{'name': 'watchdogd', 'pid': 325, 'username': 'root'} 

{'name': 'mds', 'pid': 329, 'username': 'root'} 

{'name': 'kernelmanagerd', 'pid': 331, 'username': 'root'} 

{'name': 'diskarbitrationd', 'pid': 332, 'username': 'root'} 

{'name': 'syslogd', 'pid': 336, 'username': 'root'} 

{'name': 'thermalmonitord', 'pid': 339, 'username': 'root'} 

{'name': 'opendirectoryd', 'pid': 340, 'username': 'root'} 

{'name': 'apsd', 'pid': 342, 'username': 'root'} 

{'name': 'launchservicesd', 'pid': 343, 'username': 'root'} 

{'name': 'timed', 'pid': 344, 'username': '_timed'} 

{'name': 'usbmuxd', 'pid': 345, 'username': '_usbmuxd'} 

{'name': 'securityd', 'pid': 346, 'username': 'root'} 

{'name': 'locationd', 'pid': 348, 'username': '_locationd'} 

{'name': 'autofsd', 'pid': 351, 'username': 'root'} 

{'name': 'dasd', 'pid': 352, 'username': 'root'} 

{'name': 'distnoted', 'pid': 354, 'username': '_distnote'} 

{'name': 'logind', 'pid': 358, 'username': 'root'} 

{'name': 'revisiond', 'pid': 359, 'username': 'root'} 

{'name': 'KernelEventAgent', 'pid': 360, 'username': 'root'} 

{'name': 'bluetoothd', 'pid': 363, 'username': 'root'} 

{'name': 'notifyd', 'pid': 364, 'username': 'root'} 

{'name': 'corebrightnessd', 'pid': 366, 'username': 'root'} 

{'name': 'AirPlayXPCHelper', 'pid': 367, 'username': 'root'} 

{'name': 'com.apple.cmio.r', 'pid': 368, 'username': 'root'} 

{'name': 'WindowServer', 'pid': 371, 'username': 'root'} 

{'name': 'tccd', 'pid': 372, 'username': 'root'} 

{'name': 'cfprefsd', 'pid': 373, 'username': 'root'} 

{'name': 'loginwindow', 'pid': 374, 'username': 'root'} 

{'name': 'runningboardd', 'pid': 375, 'username': 'root'} 

{'name': 'contextstored', 'pid': 376, 'username': 'root'} 

{'name': 'coreservicesd', 'pid': 378, 'username': 'root'} 

{'name': 'lsd', 'pid': 379, 'username': 'root'} 

{'name': 'airportd', 'pid': 380, 'username': 'root'} 

{'name': 'analyticsd', 'pid': 381, 'username': '_analyticsd'} 

{'name': 'coreaudiod', 'pid': 383, 'username': '_coreaudiod'} 

{'name': 'trustd', 'pid': 387, 'username': '_trustd'} 

{'name': 'nsurlsessiond', 'pid': 393, 'username': '_nsurlsessiond'} 

{'name': 'apfsd', 'pid': 398, 'username': 'root'} 

{'name': 'systemstatusd', 'pid': 403, 'username': 'root'} 

{'name': 'eligibilityd', 'pid': 406, 'username': 'root'} 

{'name': 'symptomsd', 'pid': 411, 'username': '_networkd'} 

{'name': 'authd', 'pid': 412, 'username': 'root'} 

{'name': 'distnoted', 'pid': 413, 'username': 'root'} 

{'name': 'distnoted', 'pid': 415, 'username': '_coreaudiod'} 

{'name': 'distnoted', 'pid': 418, 'username': '_windowserver'} 

{'name': 'socketfilterfw', 'pid': 420, 'username': 'root'} 

{'name': 'distnoted', 'pid': 431, 'username': '_locationd'} 

{'name': 'syspolicyd', 'pid': 432, 'username': 'root'} 

{'name': 'mDNSResponder', 'pid': 434, 'username': '_mdnsresponder'} 

{'name': 'audioclocksyncd', 'pid': 443, 'username': 'root'} 

{'name': 'mDNSResponderHel', 'pid': 460, 'username': 'root'} 

{'name': 'distnoted', 'pid': 483, 'username': '_cmiodalassistants'} 

{'name': 'com.apple.Driver', 'pid': 491, 'username': '_driverkit'} 

{'name': 'com.apple.Driver', 'pid': 492, 'username': '_driverkit'} 

{'name': 'com.apple.AppleU', 'pid': 493, 'username': '_driverkit'} 

